id_recurso;guid_recurso;subsistema
000607-6;adc4b46c-4039-4e89-9b1f-1d1ee77594c5;SE
000608-4;fdc9d297-c255-4e38-b786-2a17f59f5c48;SE
000612-2;83931038-275f-46bf-b3b3-01b2fdaa14a3;NE
000630-0;a76e52bf-e6c0-4a3f-8c60-28ddd2335381;SE
000635-1;b103e8f2-9b9f-496e-ba82-5cd8e17cc8c3;S
000641-6;52e8acec-53b9-41b8-8a1b-44874e499085;SE
000646-7;6a862c23-7540-4ab3-9462-d49078e113d5;SE
000647-5;44d8ca45-f54f-4cdc-8a30-b38cca1438e3;SE
000654-8;4b7baf9e-1f71-492a-a5c2-8b966a9e7678;S
000657-2;f0ffcee9-57f4-4e27-8cab-f5c88fa0407f;SE
000659-9;06aaeb49-6f20-4de4-8997-d63da453aaec;S
000667-0;b09620ae-2231-41e5-a71e-5886c70e2055;SE
000678-5;a828354e-7a96-407f-9068-894fceca2d39;SE
000688-2;5c1cdd0f-cb93-407e-8d37-11a8e8091e3f;SE
000702-1;7a5d288c-69f5-4ae1-a7b3-358267f5d270;S
000706-4;001d11e3-c1da-4693-97a6-11c72db71d6b;S
000718-8;e382fada-dabb-4091-8be1-2dab6abbb85a;S
000723-4;78ab13cd-4f96-4b6b-951b-c0d07c8f63a6;SE
000728-5;23b4d0fb-bfed-4255-a454-99b3d6d0deb8;S
000729-3;36af2d23-89fb-4156-96eb-a23f6fd37e56;S
000735-8;d00a8538-f0c2-43cb-8f4b-76cbaea404cf;S
000737-4;56514e0a-c8ca-4ad7-acc9-62fab8f05383;S
000742-0;f4ad76c7-b6c5-4562-b1e8-c9e1f4b7197e;S
000753-6;5b6069c4-2e10-46ca-9788-14756499301c;S
000760-9;a0ebcf99-7dd8-421e-a06e-a06ecf82d5fd;S
000764-1;033af7b1-90e6-4f15-9540-6e44b7f4489b;SE
000765-0;dedd4090-3a71-4133-8a34-f30e279f17be;SE
000768-4;9d7f0163-7d79-4273-8c19-48db6faa2f85;SE
000769-2;18fba3c2-6699-4813-b7e9-071121c87ad1;SE
000771-4;3f956f31-e91e-4a04-96a4-0c7c6851eb31;S
000775-7;ad6f4901-665d-45a3-8145-db3adab1a44f;SE
000783-8;61755cd9-6911-4e38-a9b2-9d1dcc99f28e;N
000796-0;31f7034e-06b3-4680-ae79-88aa2076eb2c;SE
000797-8;06bbe253-928a-4616-a29f-9e2f9f7754c0;S
000806-0;29152879-d2c4-4b75-8c3e-a598844a046b;NE
000816-8;16af1b5c-2610-4a67-8214-903111e83ab8;SE
000825-7;8c51612c-f452-477a-abe7-bb49ebe67233;SE
000827-3;e12f8277-ad2e-43d6-bbfa-9d5a06ee45a2;S
000836-2;dc8a0643-5e74-4d68-b932-7f7db62951cf;SE
000838-9;584af07c-a0be-4d8b-ab40-5265a748ff68;SE
000859-1;14fa8f4f-75ae-4174-91aa-629d04e0666a;SE
000866-4;30739e4a-e6a1-4ea5-8aef-b3e4c4fc8b86;SE
000868-0;1d458488-e30b-4004-a991-5e447cea8592;SE
000872-9;71e52985-8d04-43fb-ae78-93b2f735dc3d;SE
000877-0;f831bca3-47c0-4316-b261-ce3aeaf78a47;S
000884-2;bf33fd92-d8d5-43bb-b81e-cf676d69be09;SE
000898-2;7b5487d7-ae64-49e2-b652-6f2c5953d39e;S
000904-0;c6466f0a-b2db-43a3-9525-17874d41ea16;SE
000908-3;21277e13-f970-48de-b52e-ca033fc33dc0;SE
000912-1;223f2f76-8019-404a-ba39-d2ef79090299;SE
000917-2;2d30434d-d791-42ec-aba2-46c6277806a5;SE
000922-9;02e44280-937b-498c-9ac4-5d418de85f98;SE
000923-7;6c4d9888-1e23-42f7-b40f-dd9d54f11ca5;SE
000928-8;bdf4cc11-0d8e-4167-a3c9-bd3acad35ce2;SE
000935-0;f555dd1d-ae2d-4810-bba6-d36ad919b8ee;SE
000955-5;85450d01-6ad3-42eb-b103-b8b9210acb17;S
000973-3;3ef0df54-416f-4d62-bd13-1c67753b7a5a;SE
000976-8;d62d2912-307c-477b-a4df-7a80a27a1b78;S
000984-9;9b3c8d48-8e8f-459c-9bcd-9bb06e874314;S
000992-0;3558883d-4a04-420a-8922-afe53f420312;SE
000999-7;42b3a784-5edc-4b5a-a5b2-0b3453770b70;SE
001006-5;978e5740-32c6-49a5-8179-790010a9a83a;SE
001007-3;0ab4c214-debf-46eb-a741-2a59999b83b5;SE
001009-0;6b478718-429c-41b3-a5d1-05130dc4e2d2;S
001011-1;7388c0ae-2d32-4ede-9d01-089413ca26b4;SE
001016-2;6cd5c5d6-b92d-4f9e-85d8-c81d5089970b;SE
001017-0;726fde8b-813f-4a1e-9ca6-570b99dfbc27;SE
001019-7;fde5876a-d603-4ea6-b368-63dd41f14126;S
001025-1;b552b5fe-bf17-42f0-9fe6-d9d10a94da1e;SE
001034-0;32bc180e-a085-49d0-b0c3-1afa6b8b82d9;SE
001042-1;6e143449-9a8a-48e9-9b61-1a9995f64e66;S
001047-2;652130b0-c8a1-4743-b607-c949c026debf;SE
001066-9;a70d12ed-7b68-459b-b33a-8e13243bc89b;SE
001067-7;421cedcc-7f6f-4342-bf12-07fb93cd5936;S
001075-8;e3cf20a1-3f71-425e-baf3-36be5a91de90;S
001076-6;4a948f25-7208-42ac-8346-0c31a527978d;S
001078-2;6ef316eb-7933-4991-bbcb-43dc422e537f;SE
001079-0;6526b55c-0136-4b6e-9460-591606bfc593;SE
001083-9;8165bd70-baa0-4ef8-87da-7ab373d7c4e1;SE
001084-7;7c583745-5324-4c96-afc7-db518928d4a7;SE
001085-5;60694868-e87e-49f8-9382-9a3105234da4;S
001096-0;5e49468f-fb59-4997-9da6-cd65fb243fa2;SE
001097-9;d567669a-7ae4-49c0-8669-7ddd17344267;SE
001098-7;63bdc094-eecb-4a3e-8526-fcf7827c70f7;SE
001100-2;e064a112-3fd2-4488-9feb-40aa2be6ab13;SE
001103-7;5806f018-cc2e-4807-a0b5-96531df8c275;S
001113-4;1df0c4fb-46ff-4cf7-b228-a82e4941a34a;SE
001120-7;f0826bc3-6a5d-4015-871e-90bd20490e38;SE
001122-3;ccd530fa-56e9-4163-aa70-93859de3d37a;SE
001146-0;9bfc8e36-e919-40bb-94c4-54e8fe0fd354;SE
001147-9;cd338f9e-ebb2-4254-9089-68b0da409148;SE
001149-5;c9c31d3f-561d-4b2d-8eb0-c8fc1e4b39f6;N
001152-5;81db0402-ce18-44b9-a0e8-b1794c48ce32;S
001157-6;ab9788dd-7b77-4a48-a897-ee37855ca359;N
001161-4;2a9ba9ae-b12a-4523-8120-6c08d413fbbe;SE
001174-6;b4afe11c-13fa-48a0-a7a6-db4c8ec01dd1;NE
001175-4;aafa71f0-2f39-4dc6-af3a-4aea79e21e9d;NE
001185-1;169b481e-c67e-4bf3-919e-74d3a78ea382;SE
001192-4;5a730bc0-12c6-48ff-8957-9d2ec084b257;SE
001194-0;cb60997a-d5d5-44f0-91ea-eb305466079e;SE
001197-5;0be3167c-6967-4ee7-a5d0-cefe68024f47;SE
001199-1;cf8eaf26-1df2-4810-b514-e80f3f4d262b;S
001202-5;ea2b96fe-bd56-4030-9aee-d90cc2c671fe;S
001217-3;db687904-6d4b-45c9-8c5b-46b76866520c;S
001220-3;ca7fb693-c6f3-455d-9342-cda91b7c85d1;SE
001225-4;d13e3af5-f7be-4c91-aaea-e92094130afe;SE
001245-9;45ac2269-20e2-460a-a157-a0f1b972a334;SE
001252-1;6ba61bd5-2871-46a6-bd4c-dae42fc4fa00;SE
001255-6;69c63688-4943-44d0-8c87-e4c6b11ee987;SE
001257-2;81a07995-e840-416f-86c3-99c7be42847f;SE
001260-2;fcc8659e-75dc-4381-be75-c1e463106520;S
001268-8;01a50c4b-868f-41c1-a1e4-df848f6d0f8e;SE
001269-6;93c99ac9-70f5-4e89-8087-e49c9798ebf5;SE
001272-6;d95c997d-360a-47df-9988-e0bda0bfb0f5;SE
001276-9;487c046a-6a3e-4377-b078-ef241f136418;SE
001278-5;e34703a8-610b-450e-b838-c68d33fe6985;S
001282-3;a2d3d5c9-9f2e-4750-a067-7eab30deee03;SE
001285-8;4016381f-148c-4e6d-bf89-714a8a1ad5b7;SE
001298-0;3825a7f5-2f31-44b5-b9b9-e3658011c0c3;SE
001304-8;819928a3-7cbf-40c4-b81e-c8e4c50a72e3;SE
001305-6;60fab0d2-1921-4139-8d06-fad7222658c9;N
001306-4;38195381-ccf6-40ef-a331-227cdc8ebc54;SE
001310-2;ce275c27-0659-4f00-8537-f43ce5ded65b;SE
001317-0;88cfda15-1a97-49e2-b2a5-54384257bb89;SE
001322-6;bd734b63-339b-4491-8478-cf3f31f5a370;SE
001328-5;001d9d63-cc5d-4c2f-9ead-46db8a54cc51;SE
001343-9;e30c15da-a965-45b0-90f2-45dbde10ccb3;SE
001344-7;87977ef7-e904-481c-83cd-b60ba9eecbdd;SE
001347-1;8542bb7c-2229-45be-982c-5ceb199e3c6d;SE
001349-8;f98fa071-fa99-40f2-babb-e5cd09fa022d;SE
001356-0;d16e1279-7c14-4028-8377-78b8c76d410e;S
001358-7;097553f1-590d-469b-b2b3-e97d2831788b;SE
001361-7;10a688a1-81d5-4140-8347-45daa09455fc;SE
001401-0;03a160cf-ebfa-4afd-88cd-4ff029464c04;SE
001405-2;774a368f-1d6c-44ed-a05b-762deb95ff09;SE
001412-5;2ccf5a4a-6df3-4af6-a294-66ce3a8c0cdf;SE
001417-6;80f8cb9d-e49d-4752-9972-ecafbc6638ef;SE
001420-6;b19838e9-bdda-41fb-bcba-1c6d2d46eac7;SE
001427-3;0784b4d7-ab39-4dae-8acf-cc8229aac37b;SE
001432-0;58db39e1-d0f5-424b-9981-2719f3c66bb8;SE
001433-8;83e60601-859e-4b6f-9c2a-b6069c9cba9c;S
001438-9;f71145eb-8009-47ee-b374-9694889c1caa;SE
001446-0;b257390b-f804-439f-969b-c5881039b13d;SE
001447-8;fc753c35-b12f-48d5-a0d2-4cc3d21cb12a;SE
001449-4;c6ebd3ed-dc9f-457d-ab1f-0489b3aef975;SE
001452-4;d5e0a1c9-76c5-4cc0-8608-6b81fc763843;S
001454-0;f0b0fcb9-bb74-4cf0-a624-c5766e3d524e;SE
001462-1;c821e3de-b37f-41fd-930f-f5c2e468fa39;SE
001469-9;1f38306d-6ddb-4447-aa4c-539cb34a104e;SE
001479-6;82f76f8b-d227-4aad-a8a0-8380a91b8883;SE
001486-9;1a649cc0-0184-446e-bdbe-a5e2bf307a36;SE
001498-2;15b866b6-419f-4d33-a5d4-e89ec9ae6be5;SE
001501-6;be54b01a-a10d-4cee-a727-4d175b6d0f7d;S
001506-7;75798940-49f7-4825-b409-8aa1230671a8;SE
001509-1;0a809dcc-339e-400f-a3a7-287afe6ee4e7;S
001518-0;b6ccb547-3792-456e-8aa3-f61e3b33e440;SE
001528-8;e81b7b9d-1499-40e7-a60e-07086d28e94c;SE
001533-4;a0ab0424-8728-4c2e-90b7-27116ff207ae;SE
001536-9;9e25c607-ea53-4fd5-b2f0-43c470e32946;SE
001544-0;d1c2809f-f660-4ea9-8c9c-44930e79a400;SE
001549-0;436698ae-4834-41bd-b328-e0b89ad33527;S
001552-0;d48fbd8f-63f2-423f-83be-7fb0643ccfb6;SE
001574-1;4e4b1e78-89e3-4829-9c73-ee2d5e5c83f8;SE
001595-4;0392e673-61c3-4d7a-844c-8b9aeeb93063;S
001609-8;a291f176-14b1-4a3b-a210-5ae9a7f79344;SE
001927-5;d886e141-8eaa-4175-91bd-18a6667cd5d2;SE
001928-3;33326e12-dc55-4243-bd3f-d764c94a71b2;SE
001932-1;fbbad9ae-f878-4453-8ea9-00b7929cc412;SE
001934-8;da23df00-c4f0-4ee5-8f0f-11e84a272df6;SE
001945-3;ca359f0a-5561-483a-80fa-7f9f954f0554;S
001946-1;606e1851-5063-408b-b4bf-678b1aba4d3c;SE
001952-6;53af287a-a74e-4aae-a737-19968f93bfcb;SE
001959-3;8fd472c1-9b2a-4fbe-be19-01e94347e601;SE
001972-0;51a9bf08-2e22-4473-b05e-57d67948552a;SE
001975-5;f2902400-b915-4087-aca0-cf69dec31821;SE
001977-1;de343308-d18f-496e-846c-a4b04481c1f7;SE
001988-7;dfd78a69-1ecd-45a0-8642-8b7ab174ed79;SE
001997-6;9de4f554-79f6-4b42-a6c4-24cbb757990b;S
001998-4;e8721dc2-8a5e-4b25-ba89-be8459b367c8;S
001999-2;89519e4b-b542-454e-9f01-6c87eb6f4b60;S
002001-0;048d3b52-626d-4972-bccc-8e4ded3f610d;S
002003-6;8cc3580a-14a0-4334-83c6-eed7dd61f4c2;S
002008-7;b894c614-e6c5-4c58-ba1e-4ecb3c5dced6;NE
002012-5;e884ca25-7e17-4de4-95d1-c329554470d1;NE
002019-2;aceadad0-81e9-4732-aa0d-aedc98fd8e55;SE
002028-1;b558a015-f9eb-4e4c-9aec-9251488575b6;S
002038-9;eb8e94a5-edb2-49d6-891b-d5b655a0b6b5;SE
002043-5;7eb1b1f5-9ab3-4b6f-a5f2-5b6eb44e5256;SE
002045-1;2f95d1be-ac1b-41ce-b086-cb91c8f8ca1f;S
002046-0;244454e8-c0cf-4854-8f0d-ccf955f8272d;S
002047-8;8afdfba4-f60a-4b48-aedc-e187b38fc560;SE
002051-6;38341f26-69a8-4394-8d6f-ccd3e2d7b2b1;SE
002052-4;404c1e0b-15ee-45e9-80c4-abc765cc8444;SE
002053-2;91238e0c-af90-483b-8167-a3400e5f00ef;SE
002054-0;d98a9b7a-4399-4350-9e55-14ad343a838c;S
002055-9;c3e11131-ea6c-4132-9415-a719dfe402b6;SE
002060-5;73eda597-5122-493e-8b18-35b0cebe6c6d;SE
002065-6;65d5d451-ca28-466d-ae65-c429a7550d33;SE
002069-9;5b23f7e2-03ce-4fa6-be63-2465a2790ad2;SE
002070-2;7effbf54-3f4d-4bd8-8e1f-2623700015dc;SE
002076-1;9d87f8e7-f5ee-4038-9307-a87257953c0d;S
002077-0;27c1cbce-3cc2-4ea8-a3bf-231dc675f264;SE
002082-6;4b8dd5b8-e108-46a4-a0c0-011ce97f4c25;SE
002085-0;534f8105-47c7-4ff0-be79-106a647b1780;S
002092-3;7fd2fd74-0426-4ed0-a690-454df19b3378;SE
002103-2;4244aa1d-36ba-4430-ac12-a769e5876bb8;SE
002104-0;207454a0-2c23-4ab2-8d67-43fd709ccaae;SE
002117-2;e77a1a40-01a4-4291-8bce-f8444b639e23;SE
002123-7;c2ee67bc-acc9-4b34-8c10-5f6cefb24c91;SE
002127-0;cd942f86-34cc-4be5-9a1c-ac804c9cae31;SE
002133-4;1e442348-3b1e-4f39-9d1e-101e1396ce2a;S
002142-3;f405446a-e23b-4561-82d4-a05431262c00;NE
002146-6;fadfa1e5-a8fd-478a-b667-091a1e8c8990;NE
002150-4;8cc0a4cf-753e-4524-8ad5-c0f3069ab242;S
002155-5;2f676892-2762-48b9-a669-add4f6bd751b;SE
002158-0;f83a2643-f98b-48c3-9784-7877c9a4056f;SE
002164-4;9624bdfb-0384-4d7d-8a15-62face65294c;SE
002167-9;02c2ded7-a3f7-4698-b0fe-a09c0b4e4336;S
002173-3;e017cab8-8e2b-42b5-afcf-3aa57d69c37a;S
002176-8;11d4bc84-2c37-4c93-a03b-9b89578d5b73;SE
002187-3;755bec11-4f15-4c4a-bceb-9a62c42eee76;SE
002192-0;02c4ba89-9b3d-4857-a50f-6a4e85adebe6;S
002195-4;7877feaf-99db-4160-b89f-5f143ebb0655;S
002197-0;126cdcba-f43a-4644-a1f2-8680fec5080b;NE
002200-4;409e3a96-73d6-4837-9323-7bdd3989bd28;SE
002225-0;1505f23d-9645-465a-a51b-0e1460b34f0d;SE
002238-1;14586b00-a059-4bb3-bd7f-3c839cd113d2;SE
002277-2;71b336f8-bd77-49f6-8f3e-29dba1375afe;SE
002280-2;0d94ec38-9164-4b28-834b-b54a2d7382db;S
002293-4;e5f8fff2-3359-4fa0-beb5-8ffb8e9f85f4;SE
002317-5;c3cf0b57-0be8-447f-bdd7-86ada665c938;S
002340-0;310844fb-e3df-4195-a9f6-6407aede6943;S
002345-0;ef5a1b26-95ff-425a-badb-b0d23dac9c79;SE
002353-1;f5c6b83b-0f96-455b-bc44-6f53b7002de9;SE
002354-0;866f98ae-d730-4ce6-9709-5a1cfe4d1068;S
002360-4;bc9ac787-336e-437e-8e62-1e074f382b7f;S
002398-1;b9927d7b-93a5-4cb0-8595-6f471b1e7280;S
002406-6;be46d34e-f087-46c1-b39c-006ae46be2ec;SE
002428-7;a80d0129-b972-4d53-96a0-93132e9acba1;SE
002430-9;34e22179-70fd-4420-8f8d-034aaaa8af3d;S
002514-3;6146ef2a-87c6-4d91-9a6c-25d54ff904bc;S
002535-6;17d422a6-34c3-4425-8b21-83ff6386cb0b;SE
002537-2;3abe69a1-b937-407c-b417-2c7f73a23551;SE
002547-0;f7d47b5d-50fc-420b-bd16-314885620758;SE
002553-4;8dd122a4-7c01-4e16-90f0-2b5ee296a4b5;SE
002555-0;dd27eeaf-ecbe-449f-b633-848a3ef72d09;SE
002563-1;d4cc461a-4315-4fd1-a095-cc688e0a4665;SE
002569-0;6537c832-ad41-4c0c-9db4-cb8f2c4618c9;SE
002570-4;6be07e2c-713e-455b-907f-d9d4df9a7500;SE
002572-0;6e923f4e-fc85-442a-8931-3bc8f1d7c66c;S
002581-0;e88353d2-8208-4bbf-8c19-066a72888c80;SE
002591-7;6884ac29-84d7-424f-a5ad-8d2f6fb57ef4;S
002633-6;c35db79a-8419-4446-892c-acc3a9e1ab00;SE
002642-5;c54940e0-3eef-42c0-8ace-e529cf66ef6f;S
002648-4;070815b4-011b-4342-812b-a3072f2731c1;SE
002656-5;961a7c3c-903f-46fe-8b8c-5b18e020e2cf;SE
002659-0;95f472e9-3c5f-4c8d-8e2d-b8cb24d68117;S
002665-4;979c0dad-1430-45e1-85e6-c0a0484f8fdc;S
002672-7;9b5c5d85-ffd6-444f-8d0d-a86231fe220c;S
002673-5;ef9cb256-f6f7-48be-8a02-be8561993fe2;S
002682-4;4e9dd1dd-a6b6-4979-bd17-46bc40b43180;S
002683-2;7e2b4fe8-79fd-4b65-86db-094fbacef800;NE
002687-5;b639256f-9a44-4004-8722-39419ba204c7;SE
002688-3;5bd9cea2-87d0-477f-99f4-beb881010f49;SE
002693-0;7265211c-6886-4fc6-a037-e021497e3f35;SE
002696-4;f520a92c-1055-4efa-a226-fcaad294476f;SE
002699-9;566b5051-2bce-4c3a-a276-6f4f2bae74db;SE
002704-9;0a932f86-7b7d-460b-8c27-e765c3f4abda;SE
002707-3;5abd85c6-7aca-44ad-b2a4-97518598b171;SE
002715-4;5ec81af7-45c2-4499-8d2e-f71694e899f1;S
002731-6;f458d94d-c160-4461-a7e6-894de290ccd8;SE
002751-0;4229f527-9438-4b36-afeb-14a3c3004833;SE
002754-5;6e063b6e-44a2-4541-aec9-31e25cbf76c2;NE
002755-3;ab3ce58a-471d-4a40-950e-8dd2396bba0e;NE
002756-1;36029405-5a33-4ee5-93fd-30c690e701e8;N
002757-0;50e41f1d-9221-427c-8b28-d9fc8aff9f05;SE
002762-6;97046198-bc86-44c9-a937-f75a82cbddab;SE
002781-2;d34ce0e0-92bd-49f6-bb55-f2bc2e18b548;SE
002782-0;0a13ea4e-c12b-4740-a182-78b008951db9;SE
002792-8;2bab590c-560c-49cb-bdeb-9fb482be7c38;SE
002796-0;0ea4feb3-f8d8-4ef6-9906-840fbdd43883;N
002801-0;56be4308-555f-48b2-96fb-3f07cbfb25e1;NE
002821-5;fa827c82-9273-4ca1-b176-f4e35ca4b9a3;SE
002832-0;29e7902a-5ff2-49a0-8d72-a3f881a9bcd6;SE
002853-3;0a787885-c6df-4a28-84b3-eb83e9353074;S
002856-8;11c1785d-ff2f-4f75-8a05-3cdfa91360a0;SE
002862-2;d7757264-83bc-41e4-ae5c-6ea5b60bc0b3;SE
002873-8;ec575ac0-2bd6-4762-8c94-014ecf4b82b7;SE
002877-0;60e01d53-d5ce-4dc4-81cb-d956b54ccbf3;SE
002886-0;c46e6959-caf7-458d-be88-96fac4d8af4a;SE
002889-4;60fa9528-c9f0-4ba3-8382-2ecb473d9a8c;N
002896-7;7ae43b99-9ec8-4a4c-a7bb-81258da29f81;SE
002903-3;af32c0aa-6788-42ae-9cda-fa77b9e1e6e3;SE
002913-0;3f6af29a-d45b-47a7-9881-b2a9484ffe72;S
002952-1;754b06b6-a989-4fbd-91fb-7ea0bc88322d;N
002958-0;dcf0b494-0e99-4dd5-9f40-6eb2338dd317;SE
003013-9;ccfc3afa-9c83-4c2f-93df-a6b199c231ff;SE
003035-0;6321bee6-905e-404d-93d1-dd1977c5da32;SE
003045-7;532e9c7d-5bcf-4411-a323-fd8759e4558e;SE
003047-3;650b1dbf-f61b-436f-8c35-1625643bfa37;S
003058-9;faa31983-522d-477d-9bed-d31e9e74233f;SE
003059-7;73b611a0-0da3-4055-be7b-0c61463028c7;SE
026716-3;b5abfe6d-459b-40ce-bfcb-f966d115ee40;SE
026725-2;9054c6ec-ef20-471e-985c-2022a48b68c6;SE
026730-9;a273b833-bc0f-49ee-88ea-bb8233f9717f;S
026732-5;e0997e6f-1ca1-409d-858f-f3f69e666453;SE
026792-9;37c6fed7-c04e-448a-94e7-108af9c318fb;N
026798-8;e8881735-d676-4765-b4e2-74d4defb5c43;SE
026829-1;69e861de-576d-4f22-a2b3-c9a1c7cd2441;S
026832-1;c0d2959d-3f78-47d9-9e8f-d1cc1db6cd43;SE
026834-8;53c47270-c8cc-4a5b-be3d-1b17db2cd4d3;SE
026842-9;583ebabc-d08b-489c-9df9-10b983525e10;SE
026844-5;c46b918d-f75d-4e91-9de9-a60f98ef07e2;SE
026847-0;d412b613-491b-4232-a581-8c4995eb5bd7;SE
026849-6;dc528182-d2e3-487d-b592-6a4757db169d;SE
026869-0;08fea9b8-b6c8-453b-8eb9-e1858b11aa9f;SE
026874-7;21d49140-f9c3-4888-8386-2de84ecfef24;SE
026879-8;38fb4c5a-8488-4c0c-b7fe-bb80091ff3b3;SE
026885-2;24cd87fe-79fd-41c8-a219-6cd7c3fcf6d8;S
027003-2;ffd03c56-d988-4dd3-bdb3-88720a43b5ac;SE
027012-1;c7420823-8ce9-404e-80b4-cd211407353a;S
027013-0;fcff1065-9c7e-4c12-9771-b70d4fba4d6e;N
027019-9;3e154f76-03dd-4c22-873a-c45ad37d4859;S
027034-2;845fa5ff-9baf-4b57-b90c-87350d405b80;SE
027042-3;77f20d91-110a-4487-a9c7-2815fbc00364;SE
027046-6;6101d796-5565-4abf-958a-e2c8d46a8bf7;NE
027052-0;ccf73b77-51e6-4749-af9b-a094c14201c3;NE
027053-9;104835c9-3988-41e4-b238-ac9fa5a8010e;NE
027054-7;ff8f7c83-a132-419d-9e6d-ca35db668dee;SE
027055-5;ad830dbe-588d-48d2-bc07-987f5570232b;SE
027059-8;4b0e8b84-2151-42aa-84eb-760ae115bbc3;SE
027065-2;bf92ea46-e6f0-4517-b423-0e40350a47c7;SE
027066-0;208c29a0-6ce2-4fa7-bfc0-226e6728d640;SE
027072-5;c281dc84-cf93-4629-bc76-b8a7903eacd7;SE
